product_1,product_2,product_3,product_4
0,619,198,0
116,653,184,150
0,653,195,0
166,650,212,147
0,659,212,150
120,693,207,0
24,668,0,0
102,680,205,0
74,647,241,0
136,631,199,144
188,642,196,0
62,582,0,0
0,589,250,0
120,660,0,0
110,659,173,0
88,667,0,0
50,654,182,150
94,621,154,0
0,649,0,0
60,637,230,150
90,642,177,0
108,625,194,0
64,658,235,0
0,651,179,0
152,662,174,0
72,632,218,153
70,660,158,0
132,684,0,150
38,653,0,0
126,647,0,0
0,645,146,0
126,629,199,0
0,632,0,150
0,686,212,0
90,655,250,0
0,675,0,153
0,594,171,153
114,632,265,0
0,659,206,0
94,636,0,0
44,602,188,150
68,623,0,0
0,649,249,147
102,675,0,147
0,681,0,0
0,618,181,0
198,633,0,0
214,658,223,147
114,679,0,0
134,686,179,0
124,690,202,0
0,689,225,0
50,655,193,0
126,681,267,153
74,651,0,0
94,618,179,0
86,671,203,153
78,590,0,0
0,672,0,0
0,662,169,0
130,653,223,0
94,659,183,0
146,640,202,0
0,685,131,0
124,644,192,0
96,618,0,147
128,677,130,0
110,628,209,0
98,627,227,0
96,631,0,0
56,702,0,153
0,624,0,0
150,668,0,153
134,667,238,150
128,693,216,0
48,666,0,0
144,641,172,0
60,668,228,147
106,660,0,153
94,598,206,0
28,662,241,0
64,640,138,0
46,598,188,0
136,689,208,147
130,625,162,0
0,670,216,0
58,653,0,144
126,664,228,0
0,637,188,0
124,624,176,0
90,653,0,0
72,646,197,0
140,657,0,0
44,618,240,0
176,659,176,0
0,664,166,0
0,660,162,153
0,611,0,0
118,631,230,0
38,621,178,0
124,646,0,0
70,653,190,0
120,649,0,0
0,650,230,0
40,611,0,0
70,601,174,0
118,690,238,0
62,641,229,150
104,642,0,0
184,699,264,0
118,664,249,0
0,667,0,0
0,646,0,0
0,655,0,0
158,641,201,0
48,707,181,0
58,640,0,0
78,637,0,0
0,680,154,0
76,649,216,144
0,647,162,0
104,650,189,0
76,710,229,0
76,623,264,0
182,636,179,0
112,699,197,0
0,601,222,0
0,655,186,150
84,638,251,0
118,660,0,0
96,655,235,153
16,640,0,0
80,664,0,0
124,653,184,0
0,602,0,0
128,660,199,0
80,632,0,0
70,654,220,0
134,624,0,0
0,649,0,153
184,623,232,0
0,653,218,0
82,585,235,0
88,645,140,0
126,614,204,150
120,625,0,0
132,659,201,0
0,621,169,0
164,655,215,156
0,677,0,0
94,663,0,0
0,658,0,147
30,631,162,0
126,632,256,0
122,670,177,0
0,632,206,0
0,689,176,153
164,627,179,0
168,666,0,0
144,603,0,150
78,670,247,150
118,651,211,0
114,672,0,0
152,659,239,0
96,628,252,0
36,683,218,153
0,694,211,150
70,664,0,150
0,640,200,0
100,629,226,0
0,677,249,153
108,619,217,0
126,624,219,0
126,637,0,153
106,647,196,150
92,619,240,0
118,641,213,0
0,638,0,0
76,694,0,0
0,650,173,144
0,647,149,150
0,623,0,0
146,640,163,150
162,653,199,0
0,645,203,0
106,615,221,153
124,637,0,0
126,654,255,0
0,662,182,0
70,671,192,0
0,651,177,0
102,634,197,150
